Age_Var,Age_Level,Age_Label,Eth_Var,Eth_Level,Eth_Label,Sex_code,Sex_Label,DepMissing,Dep1,Dep2,Dep3,Dep4,Dep5,Dep6,Dep7,Dep8,Dep9,Dep10,Total
AgeGroup A,106,A: 6-17 yrs,EthIndMaori,31,Maori,2,Female,18,2643,3351,3873,4479,5346,6477,7863,9963,13476,19407,
AgeGroup A,106,A: 6-17 yrs,EthIndMaori,31,Maori,99,Both Sexes,33,5385,6729,8004,9282,11061,13329,16101,20262,27414,39534,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthIndMaori,39,Non-Maori,1,Male,57,36291,33399,31824,29484,27840,25677,24228,22458,22227,21771,
AgeGroup A,106,A: 6-17 yrs,EthIndMaori,39,Non-Maori,2,Female,54,34902,31779,29667,28038,26424,24627,22584,21441,21327,21150,
AgeGroup A,106,A: 6-17 yrs,EthIndMaori,39,Non-Maori,99,Both Sexes,111,71190,65181,61491,57522,54264,50304,46812,43899,43554,42915,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthIndPac,42,Pacific Peoples,1,Male,,720,858,1152,1578,1785,2304,3129,5040,8205,14094,
AgeGroup A,106,A: 6-17 yrs,EthIndPac,42,Pacific Peoples,2,Female,6,726,894,1071,1413,1620,2247,2886,5010,7854,13809,
AgeGroup A,106,A: 6-17 yrs,EthIndPac,42,Pacific Peoples,99,Both Sexes,6,1446,1755,2223,2994,3402,4554,6018,10050,16056,27903,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthIndPac,49,Non-Pacific Peoples,1,Male,72,38310,35919,34806,32712,31770,30222,29337,27717,27960,27801,
AgeGroup A,106,A: 6-17 yrs,EthIndPac,49,Non-Pacific Peoples,2,Female,69,36819,34236,32469,31101,30150,28857,27561,26391,26949,26751,
AgeGroup A,106,A: 6-17 yrs,EthIndPac,49,Non-Pacific Peoples,99,Both Sexes,141,75129,70155,67272,63813,61920,59079,56895,54108,54909,54549,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthIndAsian,54,Asian,1,Male,9,3123,3378,3750,3909,3849,3726,3591,3501,3195,2376,
AgeGroup A,106,A: 6-17 yrs,EthIndAsian,54,Asian,2,Female,6,3117,3303,3462,3633,3666,3570,3339,3405,2943,2304,
AgeGroup A,106,A: 6-17 yrs,EthIndAsian,54,Asian,99,Both Sexes,12,6237,6684,7215,7542,7518,7293,6930,6903,6138,4680,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthIndAsian,59,Non-Asian,1,Male,66,35907,33399,32205,30381,29703,28803,28875,29259,32967,39519,
AgeGroup A,106,A: 6-17 yrs,EthIndAsian,59,Non-Asian,2,Female,69,34428,31827,30078,28884,28104,27537,27108,27999,31860,38253,
AgeGroup A,106,A: 6-17 yrs,EthIndAsian,59,Non-Asian,99,Both Sexes,132,70335,65226,62283,59265,57810,56337,55980,57258,64827,77772,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthIndEuro,66,European (NZ European and Other European),1,Male,51,30963,28353,26757,24756,23856,22062,20970,18615,17364,13590,
AgeGroup A,106,A: 6-17 yrs,EthIndEuro,66,European (NZ European and Other European),2,Female,60,30171,27243,25407,23952,22875,21567,20040,18147,17220,13365,
AgeGroup A,106,A: 6-17 yrs,EthIndEuro,66,European (NZ European and Other European),99,Both Sexes,114,61134,55596,52164,48708,46728,43629,41010,36762,34584,26952,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthIndEuro,69,Non-European,1,Male,18,8070,8427,9198,9534,9699,10464,11496,14148,18801,28308,
AgeGroup A,106,A: 6-17 yrs,EthIndEuro,69,Non-European,2,Female,12,7374,7884,8133,8565,8895,9540,10407,13254,17580,27192,
AgeGroup A,106,A: 6-17 yrs,EthIndEuro,69,Non-European,99,Both Sexes,33,15441,16311,17331,18096,18594,20004,21900,27399,36381,55500,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthIndMELAA,77,MELAA,1,Male,,264,303,309,321,345,384,432,414,537,585,
AgeGroup A,106,A: 6-17 yrs,EthIndMELAA,77,MELAA,2,Female,,243,282,291,303,327,363,390,369,489,576,
AgeGroup A,106,A: 6-17 yrs,EthIndMELAA,77,MELAA,99,Both Sexes,,510,585,600,624,672,744,822,783,1029,1161,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthIndMELAA,79,Non-MELAA,1,Male,72,38766,36474,35646,33969,33207,32145,32034,32343,35625,41310,
AgeGroup A,106,A: 6-17 yrs,EthIndMELAA,79,Non-MELAA,2,Female,72,37299,34848,33249,32214,31443,30744,30057,31035,34311,39978,
AgeGroup A,106,A: 6-17 yrs,EthIndMELAA,79,Non-MELAA,99,Both Sexes,147,76065,71322,68898,66183,64653,62889,62091,63378,69936,81288,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthIndOth,88,"Other Ethnicity (Has Other than M,P,A,E,MELAA)",1,Male,6,4938,4494,4353,3912,3636,3258,2907,2589,2124,1308,
AgeGroup A,106,A: 6-17 yrs,EthIndOth,88,"Other Ethnicity (Has Other than M,P,A,E,MELAA)",2,Female,6,4377,4167,3819,3549,3225,2931,2556,2289,1830,1257,
AgeGroup A,106,A: 6-17 yrs,EthIndOth,88,"Other Ethnicity (Has Other than M,P,A,E,MELAA)",99,Both Sexes,6,9315,8664,8169,7461,6858,6192,5463,4878,3957,2568,
,,,,,,,,,,,,,,,,,,,
