"Area_unit","AGE_0_4","AGE_5_9","AGE_10_14","AGE_15_19","AGE_20_24","AGE_25_29","AGE_30_34","AGE_35_39","AGE_40_44","AGE_45_49","AGE_50_54","AGE_55_59","AGE_60_64","AGE_65_OVER","AGE_TOTAL","AGE_10_14_im","AGE_15_19_im","AGE_20_24_im","AGE_25_29_im","AGE_30_34_im","AGE_35_39_im","AGE_40_44_im","AGE_45_49_im","AGE_50_54_im","AGE_55_59_im","AGE_60_64_im","AGE_65_OVER_im","AGE_TOTAL_im","AGE_TOTAL_hayman","Percent_Immune"
"Te Hihi",63,87,87,84,30,33,36,69,99,93,105,87,69,216,1152,70.122,68.712,23.58,28.512,33.12,63.48,91.08,85.56,92.412,86.13,68.31,213.84,924.858,1008,0.917517857142857
"Abbey Caves",24,51,51,33,15,21,21,30,66,57,60,51,81,69,636,41.106,26.994,11.79,18.144,19.32,27.6,60.72,52.44,53.316,50.49,80.19,68.31,510.42,555,0.919675675675676
"Otaika-Portland",72,72,60,87,72,42,48,60,87,90,90,75,57,138,1050,48.36,71.166,56.592,36.288,44.16,55.2,80.04,82.8,73.44,74.25,56.43,136.62,815.346,906,0.899940397350993
"Kamo West",192,246,240,180,144,159,150,192,225,216,192,177,174,1161,3651,193.44,147.24,113.184,137.376,138,176.64,207,198.72,201.024,175.23,172.26,1149.39,3009.504,3210,0.937540186915888
"Kamo East",297,324,291,225,228,240,195,213,213,219,213,165,147,417,3387,234.546,184.05,179.208,207.36,179.4,195.96,195.96,201.48,232.812,163.35,145.53,412.83,2532.486,2766,0.915577006507592
"Tikipunga West",276,231,219,198,156,171,141,162,153,174,189,159,138,636,2997,176.514,161.964,122.616,147.744,129.72,149.04,140.76,160.08,191.052,157.41,136.62,629.64,2303.16,2496,0.922740384615385
"Tikipunga East",255,234,231,213,150,150,159,174,192,165,153,165,153,540,2931,186.186,174.234,117.9,129.6,146.28,160.08,176.64,151.8,175.932,163.35,151.47,534.6,2268.072,2445,0.927636809815951
"Whau Valley",129,144,186,138,99,105,93,117,147,171,171,153,135,576,2361,149.916,112.884,77.814,90.72,85.56,107.64,135.24,157.32,168.048,151.47,133.65,570.24,1940.502,2091,0.928025824964132
"Otangarei",165,159,138,183,135,99,54,69,108,114,132,90,60,258,1761,111.228,149.694,106.11,85.536,49.68,63.48,99.36,104.88,127.512,89.1,59.4,255.42,1301.4,1440,0.90375
"Western Hills",15,21,24,24,9,15,12,12,21,18,21,12,18,27,249,19.344,19.632,7.074,12.96,11.04,11.04,19.32,16.56,21.096,11.88,17.82,26.73,194.496,213,0.91312676056338
"Kensington",69,87,72,75,63,75,60,78,78,63,87,84,72,264,1227,58.032,61.35,49.518,64.8,55.2,71.76,71.76,57.96,76.536,83.16,71.28,261.36,982.716,1071,0.91756862745098
"Mairtown",153,114,126,120,108,99,102,105,147,132,144,135,144,738,2367,101.556,98.16,84.888,85.536,93.84,96.6,135.24,121.44,129.384,133.65,142.56,730.62,1953.474,2100,0.930225714285714
"Regent",75,81,99,117,93,78,72,84,111,117,102,105,90,381,1596,79.794,95.706,73.098,67.392,66.24,77.28,102.12,107.64,95.508,103.95,89.1,377.19,1335.018,1449,0.921337474120083
"Woodhill",132,93,90,105,120,156,108,99,102,96,99,99,93,279,1677,72.54,85.89,94.32,134.784,99.36,91.08,93.84,88.32,90.288,98.01,92.07,276.21,1316.712,1446,0.910589211618257
"Vinetown",102,90,81,99,111,108,84,78,99,90,105,96,81,261,1479,65.286,80.982,87.246,93.312,77.28,71.76,91.08,82.8,90.036,95.04,80.19,258.39,1173.402,1293,0.907503480278422
"Whangarei Central",9,9,9,9,12,9,15,15,15,15,12,9,12,27,174,7.254,7.362,9.432,7.776,13.8,13.8,13.8,13.8,10.188,8.91,11.88,26.73,144.732,159,0.910264150943396
"Riverside",30,21,33,39,45,21,27,33,33,57,69,87,78,147,717,26.598,31.902,35.37,18.144,24.84,30.36,30.36,52.44,51.156,86.13,77.22,145.53,610.05,669,0.911883408071749
"Horahora",84,57,45,66,69,84,75,60,75,51,84,69,60,177,1053,36.27,53.988,54.234,72.576,69,55.2,69,46.92,64.188,68.31,59.4,175.23,824.316,915,0.900891803278688
"Maunu",69,87,90,69,45,48,45,60,108,84,84,69,93,408,1356,72.54,56.442,35.37,41.472,41.4,55.2,99.36,77.28,82.008,68.31,92.07,403.92,1125.372,1203,0.935471321695761
"Raumanga East",210,147,114,135,144,126,99,93,93,72,99,87,66,147,1635,91.884,110.43,113.184,108.864,91.08,85.56,85.56,66.24,99.792,86.13,65.34,145.53,1149.594,1275,0.901642352941177
"Morningside",156,147,150,153,180,117,132,132,156,153,135,114,111,246,2088,120.9,125.154,141.48,101.088,121.44,121.44,143.52,140.76,133.92,112.86,109.89,243.54,1615.992,1779,0.908370994940978
"Parahaki",81,69,48,72,84,78,57,75,87,75,87,84,84,147,1128,38.688,58.896,66.024,67.392,52.44,69,80.04,69,67.032,83.16,83.16,145.53,880.362,978,0.900165644171779
"Raumanga West",303,243,243,225,234,186,180,150,177,189,165,120,111,297,2817,195.858,184.05,183.924,160.704,165.6,138,162.84,173.88,187.308,118.8,109.89,294.03,2074.884,2277,0.911235836627141
"Port-Limeburners",0,0,3,0,3,3,3,0,0,3,3,3,6,6,36,2.418,0,2.358,2.592,2.76,0,0,2.76,2.844,2.97,5.94,5.94,30.582,33,0.926727272727273
"Sherwood Rise",300,252,255,201,177,225,198,222,222,219,255,249,228,741,3741,205.53,164.418,139.122,194.4,182.16,204.24,204.24,201.48,241.74,246.51,225.72,733.59,2943.15,3192,0.922039473684211
"Onerahi",150,174,153,123,96,87,117,93,123,147,144,147,156,336,2046,123.318,100.614,75.456,75.168,107.64,85.56,113.16,135.24,140.076,145.53,154.44,332.64,1588.842,1722,0.922672473867596
"Hikurangi",144,132,132,111,81,75,81,90,75,84,90,72,66,180,1410,106.392,90.798,63.666,64.8,74.52,82.8,69,77.28,101.952,71.28,65.34,178.2,1046.028,1137,0.91998944591029
"Te Kopuru",45,30,36,18,15,18,27,18,21,30,39,36,36,90,465,29.016,14.724,11.79,15.552,24.84,16.56,19.32,27.6,35.784,35.64,35.64,89.1,355.566,384,0.925953125
"Kaipara Coastal",153,195,207,207,135,105,129,162,213,228,246,252,249,468,2955,166.842,169.326,106.11,90.72,118.68,149.04,195.96,209.76,217.764,249.48,246.51,463.32,2383.512,2601,0.916382929642445
"Maungaru",99,123,135,108,75,60,96,81,114,129,141,165,132,237,1695,108.81,88.344,58.95,51.84,88.32,74.52,104.88,118.68,131.292,163.35,130.68,234.63,1354.296,1473,0.919413441955194
"Dargaville",294,273,312,261,237,168,183,222,210,237,255,258,285,1056,4251,251.472,213.498,186.282,145.152,168.36,204.24,193.2,218.04,264.312,255.42,282.15,1045.44,3427.566,3684,0.930392508143323
"Maungaturoto",63,69,66,42,39,51,42,48,39,48,39,42,33,138,756,53.196,34.356,30.654,44.064,38.64,44.16,35.88,44.16,47.664,41.58,32.67,136.62,583.644,627,0.930851674641148
"Ruawai",27,36,42,21,18,9,12,21,18,30,24,24,36,111,435,33.852,17.178,14.148,7.776,11.04,19.32,16.56,27.6,29.88,23.76,35.64,109.89,346.644,366,0.947114754098361
"Kaiwaka",42,51,39,48,33,30,33,39,27,39,45,45,36,72,576,31.434,39.264,25.938,25.92,30.36,35.88,24.84,35.88,40.284,44.55,35.64,71.28,441.27,486,0.907962962962963
"Rehia-Oneriri",351,339,393,357,198,192,234,270,354,417,525,471,405,918,5418,316.758,292.026,155.628,165.888,215.28,248.4,325.68,383.64,445.428,466.29,400.95,908.82,4324.788,4734,0.913558935361217
"Mangawhai",63,90,93,57,33,30,48,51,87,105,99,105,132,333,1329,74.958,46.626,25.938,25.92,44.16,46.92,80.04,96.6,91.476,103.95,130.68,329.67,1096.938,1173,0.935156010230179
"Mangawhai Heads",51,57,30,30,33,30,39,42,54,48,72,87,138,372,1086,24.18,24.54,25.938,25.92,35.88,38.64,49.68,44.16,51.624,86.13,136.62,368.28,911.592,975,0.934966153846154
"Wellsford",138,132,123,102,81,96,111,108,81,96,114,93,102,321,1698,99.138,83.436,63.666,82.944,102.12,99.36,74.52,88.32,111.636,92.07,100.98,317.79,1315.98,1428,0.921554621848739
"Leigh",24,24,18,24,12,18,30,30,30,18,24,45,51,87,441,14.508,19.632,9.432,15.552,27.6,27.6,27.6,16.56,20.376,44.55,50.49,86.13,360.03,387,0.93031007751938
"Warkworth",234,249,297,225,156,171,180,219,258,246,207,192,249,1029,3909,239.382,184.05,122.616,147.744,165.6,201.48,237.36,226.32,231.876,190.08,246.51,1018.71,3211.728,3429,0.936636920384952
"Waimauku",87,99,99,54,39,42,51,78,126,75,81,57,45,114,1035,79.794,44.172,30.654,36.288,46.92,71.76,115.92,69,83.916,56.43,44.55,112.86,792.264,861,0.920167247386759
"Huapai",96,99,108,105,78,72,93,84,129,126,114,90,78,246,1524,87.048,85.89,61.308,62.208,85.56,77.28,118.68,115.92,105.696,89.1,77.22,243.54,1209.45,1323,0.914172335600907
"Riverhead Urban",114,129,126,63,45,72,84,126,135,102,84,69,51,90,1290,101.556,51.534,35.37,62.208,77.28,115.92,124.2,93.84,96.264,68.31,50.49,89.1,966.072,1047,0.922704871060172
"Kumeu East",84,114,93,78,84,84,81,87,129,102,123,102,114,177,1449,74.958,63.804,66.024,72.576,74.52,80.04,118.68,93.84,104.724,100.98,112.86,175.23,1138.236,1254,0.907684210526316
"Kumeu West",93,105,123,126,87,84,78,87,150,156,141,123,117,255,1725,99.138,103.068,68.382,72.576,71.76,80.04,138,143.52,126.54,121.77,115.83,252.45,1393.074,1527,0.912294695481336
"Waipareira West",51,66,66,69,42,42,39,42,75,81,69,60,60,183,954,53.196,56.442,33.012,36.288,35.88,38.64,69,74.52,64.224,59.4,59.4,181.17,761.172,828,0.919289855072464
"Waiwera",9,3,12,15,12,15,6,15,21,15,15,33,24,84,285,9.672,12.27,9.432,12.96,5.52,13.8,19.32,13.8,13.032,32.67,23.76,83.16,249.396,267,0.934067415730337
