"Area_unit","AGE_0_4","AGE_5_9","AGE_10_14","AGE_15_19","AGE_20_24","AGE_25_29","AGE_30_34","AGE_35_39","AGE_40_44","AGE_45_49","AGE_50_54","AGE_55_59","AGE_60_64","AGE_65_OVER","AGE_TOTAL","AGE_10_14_im","AGE_15_19_im","AGE_20_24_im","AGE_25_29_im","AGE_30_34_im","AGE_35_39_im","AGE_40_44_im","AGE_45_49_im","AGE_50_54_im","AGE_55_59_im","AGE_60_64_im","AGE_65_OVER_im","AGE_TOTAL_im","AGE_TOTAL_hayman","Percent_Immune"
"Wainoni",207,171,153,198,201,171,180,171,183,189,183,171,129,387,2694,123.318,161.964,157.986,147.744,165.6,157.32,168.36,173.88,161.604,169.29,127.71,383.13,2097.906,2316,0.905831606217617
"Aranui",336,291,255,312,309,243,246,231,261,264,261,237,165,396,3810,205.53,255.216,242.874,209.952,226.32,212.52,240.12,242.88,245.052,234.63,163.35,392.04,2870.484,3180,0.902667924528302
"Richmond North",192,132,138,129,147,168,168,186,174,180,171,120,117,276,2310,111.228,105.522,115.542,145.152,154.56,171.12,160.08,165.6,149.04,118.8,115.83,273.24,1785.714,1974,0.904617021276596
"Richmond South",120,66,57,81,225,276,201,153,153,123,129,111,93,219,2001,45.942,66.258,176.85,238.464,184.92,140.76,140.76,113.16,93.78,109.89,92.07,216.81,1619.664,1821,0.889436573311367
"Avonside",126,99,108,126,138,132,123,135,123,129,135,111,99,237,1821,87.048,103.068,108.468,114.048,113.16,124.2,113.16,118.68,117.288,109.89,98.01,234.63,1441.65,1596,0.903289473684211
"Linwood",249,159,150,225,618,492,348,273,324,285,279,237,171,477,4290,120.9,184.05,485.748,425.088,320.16,251.16,298.08,262.2,213.408,234.63,169.29,472.23,3436.944,3879,0.886038669760247
"Phillipstown",282,168,189,252,489,426,336,255,255,258,228,174,177,294,3786,152.334,206.136,384.354,368.064,309.12,234.6,234.6,237.36,200.7,172.26,175.23,291.06,2965.818,3333,0.889834383438344
"Linwood North",171,144,126,141,156,186,174,213,180,159,195,144,126,297,2406,101.556,115.338,122.616,160.704,160.08,195.96,165.6,146.28,157.536,142.56,124.74,294.03,1887,2097,0.899856938483548
"Linwood East",180,126,120,135,144,174,135,141,123,117,138,126,99,243,2001,96.72,110.43,113.184,150.336,124.2,129.72,113.16,107.64,123.696,124.74,98.01,240.57,1532.406,1695,0.904074336283186
"Bexley",174,153,159,189,138,132,171,165,189,153,168,159,153,279,2376,128.154,154.602,108.468,114.048,157.32,151.8,173.88,140.76,155.7,157.41,151.47,276.21,1869.822,2055,0.909889051094891
"Bromley",243,198,198,207,204,216,186,198,210,195,198,201,150,309,2910,159.588,169.326,160.344,186.624,171.12,182.16,193.2,179.4,187.704,198.99,148.5,305.91,2242.866,2472,0.907308252427184
"Woolston West",255,192,192,225,276,246,225,192,231,216,246,207,177,525,3405,154.752,184.05,216.936,212.544,207,176.64,212.52,198.72,211.824,204.93,175.23,519.75,2674.896,2958,0.904292089249493
"Ferrymead",198,177,165,180,189,198,162,186,204,222,222,231,204,669,3207,132.99,147.24,148.554,171.072,149.04,171.12,187.68,204.24,187.884,228.69,201.96,662.31,2592.78,2832,0.915529661016949
"Woolston South",174,129,120,144,198,192,162,192,189,165,153,159,108,261,2346,96.72,117.792,155.628,165.888,149.04,176.64,173.88,151.8,131.976,157.41,106.92,258.39,1842.084,2043,0.901656387665198
"Ensors",300,216,183,234,339,303,354,270,255,240,264,171,177,351,3657,147.498,191.412,266.454,261.792,325.68,248.4,234.6,220.8,218.196,169.29,175.23,347.49,2806.842,3141,0.893614135625597
"Opawa",168,207,180,189,174,120,150,174,207,249,276,219,183,564,3066,145.08,154.602,136.764,103.68,138,160.08,190.44,229.08,223.632,216.81,181.17,558.36,2437.698,2685,0.907894972067039
"St Martins",249,246,249,258,198,174,246,261,324,339,342,300,231,732,4152,200.694,211.044,155.628,150.336,226.32,240.12,298.08,311.88,287.388,297,228.69,724.68,3331.86,3654,0.91183908045977
"Waltham",75,45,48,75,129,132,90,69,78,69,66,45,60,60,1041,38.688,61.35,101.394,114.048,82.8,63.48,71.76,63.48,55.44,44.55,59.4,59.4,815.79,921,0.885765472312704
"Sydenham",384,267,210,318,642,666,561,468,405,390,360,300,219,723,5910,169.26,260.124,504.612,575.424,516.12,430.56,372.6,358.8,281.88,297,216.81,715.77,4698.96,5262,0.892998859749145
"Addington",234,156,147,171,429,486,372,321,297,213,189,171,123,366,3675,118.482,139.878,337.194,419.904,342.24,295.32,273.24,195.96,162.54,169.29,121.77,362.34,2938.158,3285,0.894416438356164
"Barrington North",375,291,273,288,381,459,474,411,366,351,357,249,258,969,5490,220.038,235.584,299.466,396.576,436.08,378.12,336.72,322.92,305.172,246.51,255.42,959.31,4391.916,4836,0.908171215880893
"Barrington South",204,186,180,177,138,153,162,207,246,231,198,168,147,690,3087,145.08,144.786,108.468,132.192,149.04,190.44,226.32,212.52,180.576,166.32,145.53,683.1,2484.372,2697,0.921161290322581
"Spreydon",285,210,180,195,246,330,342,297,276,228,240,180,150,393,3549,145.08,159.51,193.356,285.12,314.64,273.24,253.92,209.76,203.76,178.2,148.5,389.07,2754.156,3057,0.900934249263984
"Hoon Hay",222,183,180,162,156,228,198,243,207,183,174,162,135,426,2859,145.08,132.516,122.616,196.992,182.16,223.56,190.44,168.36,167.328,160.38,133.65,421.74,2244.822,2454,0.914760391198044
"Hoon Hay South",132,111,123,105,72,111,135,150,135,144,150,117,114,351,1956,99.138,85.89,56.592,95.904,124.2,138,124.2,132.48,131.508,115.83,112.86,347.49,1564.092,1707,0.916281195079086
"Hillmorton",381,303,288,297,300,339,309,321,324,258,267,282,246,561,4476,232.128,242.946,235.8,292.896,284.28,295.32,298.08,237.36,261.432,279.18,243.54,555.39,3458.352,3792,0.912012658227848
"Somerfield",285,285,231,192,162,195,261,315,345,297,240,198,192,456,3660,186.186,157.056,127.332,168.48,240.12,289.8,317.4,273.24,223.956,196.02,190.08,451.44,2821.11,3084,0.914756809338521
"Beckenham",174,219,186,144,84,84,108,192,222,219,180,132,129,360,2442,149.916,117.792,66.024,72.576,99.36,176.64,204.24,201.48,173.016,130.68,127.71,356.4,1875.834,2040,0.919526470588235
"North Beach",363,282,267,270,285,288,327,351,375,303,336,264,216,633,4563,215.202,220.86,224.01,248.832,300.84,322.92,345,278.76,291.204,261.36,213.84,626.67,3549.498,3915,0.90664061302682
"Rawhiti",279,210,189,213,204,240,249,276,252,249,258,225,189,561,3597,152.334,174.234,160.344,207.36,229.08,253.92,231.84,229.08,217.26,222.75,187.11,555.39,2820.702,3105,0.908438647342995
"New Brighton",165,144,150,120,171,126,183,216,198,186,195,165,114,309,2439,120.9,98.16,134.406,108.864,168.36,198.72,182.16,171.12,167.04,163.35,112.86,305.91,1931.85,2133,0.905696202531646
"South Brighton",210,201,186,165,156,162,222,231,249,270,285,216,213,462,3231,149.916,134.97,122.616,139.968,204.24,212.52,229.08,248.4,230.976,213.84,210.87,457.38,2554.776,2817,0.906913738019169
"Mt Pleasant",144,186,204,162,105,72,84,159,261,282,297,282,321,690,3249,164.424,132.516,82.53,62.208,77.28,146.28,240.12,259.44,244.728,279.18,317.79,683.1,2689.596,2919,0.921410071942446
"Avon-Heathcote Estuary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moncks Bay",135,207,168,147,81,93,114,171,210,216,270,258,264,588,2922,135.408,120.246,63.666,80.352,104.88,157.32,193.2,198.72,215.568,255.42,261.36,582.12,2368.26,2580,0.91793023255814
"Sumner",222,288,267,195,126,165,192,237,348,327,291,243,183,534,3612,215.202,159.51,99.036,142.56,176.64,218.04,320.16,300.84,266.364,240.57,181.17,528.66,2848.752,3108,0.916586872586873
"Lyttelton",153,192,165,138,87,108,147,246,243,285,282,225,207,381,2856,132.99,112.884,68.382,93.312,135.24,226.32,223.56,262.2,221.004,222.75,204.93,377.19,2280.762,2514,0.907224343675418
"Diamond Harbour",66,84,78,72,30,33,57,87,117,120,150,114,135,324,1467,62.868,58.896,23.58,28.512,52.44,80.04,107.64,110.4,113.688,112.86,133.65,320.76,1205.334,1317,0.915211845102506
"Governors Bay",33,66,54,63,27,21,18,42,75,81,99,90,81,123,870,43.524,51.534,21.222,18.144,16.56,38.64,69,74.52,76.032,89.1,80.19,121.77,700.236,774,0.904697674418605
"Quail Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Port Levy",3,0,6,3,6,3,0,0,6,6,12,6,9,18,75,4.836,2.454,4.716,2.592,0,0,5.52,5.52,9,5.94,8.91,17.82,67.308,75,0.89744
"Akaroa",21,18,24,24,15,30,27,30,36,39,39,51,72,195,624,19.344,19.632,11.79,25.92,24.84,27.6,33.12,35.88,31.032,50.49,71.28,193.05,543.978,582,0.934670103092784
"Akaroa Harbour",27,27,42,33,24,24,33,39,42,42,69,66,90,225,777,33.852,26.994,18.864,20.736,30.36,35.88,38.64,38.64,54.72,65.34,89.1,222.75,675.876,729,0.927127572016461
"Banks Peninsula Eastern Bays",33,27,39,18,9,9,12,27,33,45,39,51,36,75,459,31.434,14.724,7.074,7.776,11.04,24.84,30.36,41.4,36.972,50.49,35.64,74.25,366,393,0.931297709923664
"Chatham Islands",39,51,33,21,36,30,33,39,51,45,66,45,39,72,600,26.598,17.178,28.296,25.92,30.36,35.88,46.92,41.4,49.5,44.55,38.61,71.28,456.492,510,0.895082352941177
"Little River",54,87,78,48,30,27,36,66,114,129,120,90,75,144,1101,62.868,39.264,23.58,23.328,33.12,60.72,104.88,118.68,97.128,89.1,74.25,142.56,869.478,957,0.908545454545455
"Inland Water-Lake Ellesmere South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lincoln",198,246,276,654,351,147,153,231,291,282,246,201,186,462,3924,222.456,534.972,275.886,127.008,140.76,212.52,267.72,259.44,245.088,198.99,184.14,457.38,3126.36,3480,0.898379310344828
"Leeston",126,120,96,78,54,75,78,105,111,90,96,117,84,279,1506,77.376,63.804,42.444,64.8,71.76,96.6,102.12,82.8,91.008,115.83,83.16,276.21,1167.912,1263,0.924712589073634
"Southbridge",60,81,78,48,36,42,39,63,78,69,60,57,48,99,858,62.868,39.264,28.296,36.288,35.88,57.96,71.76,63.48,64.008,56.43,47.52,98.01,661.764,717,0.922962343096234
"Dunsandel",42,51,24,18,18,30,36,36,33,45,42,18,21,57,474,19.344,14.724,14.148,25.92,33.12,33.12,30.36,41.4,32.688,17.82,20.79,56.43,339.864,378,0.899111111111111
"Inland Water-Lake Ellesmere North",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Selwyn-Rakaia",288,288,270,261,276,252,237,279,309,291,324,237,219,390,3924,217.62,213.498,216.936,217.728,218.04,256.68,284.28,267.72,285.768,234.63,216.81,386.1,3015.81,3345,0.901587443946189
"Rolleston North West",183,159,132,117,81,123,165,156,174,165,87,66,63,132,1797,106.392,95.706,63.666,106.272,151.8,143.52,160.08,151.8,100.296,65.34,62.37,130.68,1337.922,1461,0.915757700205339
"Rolleston Central",252,315,252,186,111,147,213,315,330,249,165,102,102,237,2979,203.112,152.148,87.246,127.008,195.96,289.8,303.6,229.08,190.872,100.98,100.98,234.63,2215.416,2409,0.919641344956413
"Rolleston North East",207,216,168,162,96,102,159,204,243,192,126,96,93,132,2193,135.408,132.516,75.456,88.128,146.28,187.68,223.56,176.64,136.08,95.04,92.07,130.68,1619.538,1773,0.913445008460237
"Rolleston South West",174,228,192,144,57,42,87,177,246,195,135,111,75,105,1974,154.752,117.792,44.802,36.288,80.04,162.84,226.32,179.4,150.552,109.89,74.25,103.95,1440.876,1566,0.920099616858238
"Springston",156,249,216,225,180,117,117,180,243,294,267,240,213,336,3033,174.096,184.05,141.48,101.088,107.64,165.6,223.56,270.48,232.92,237.6,210.87,332.64,2382.024,2628,0.906401826484018
"Rolleston South East",33,42,42,54,30,12,24,42,42,66,48,48,57,66,612,33.852,44.172,23.58,10.368,22.08,38.64,38.64,60.72,43.128,47.52,56.43,65.34,484.47,531,0.912372881355932
"Methven",129,138,114,72,69,111,108,153,138,129,105,111,87,252,1710,91.884,58.896,54.234,95.904,99.36,140.76,126.96,118.68,103.104,109.89,86.13,249.48,1335.282,1449,0.92151966873706
"Plains Railway",27,30,42,39,18,21,21,36,36,45,48,51,63,105,588,33.852,31.902,14.148,18.144,19.32,33.12,33.12,41.4,43.128,50.49,62.37,103.95,484.944,525,0.923702857142857
"Ashburton North",6,18,15,24,9,9,12,6,15,24,27,24,27,57,273,12.09,19.632,7.074,7.776,11.04,5.52,13.8,22.08,20.844,23.76,26.73,56.43,226.776,249,0.910746987951807
"Fairton",36,51,57,51,18,18,24,30,66,57,45,51,66,141,711,45.942,41.718,14.148,15.552,22.08,27.6,60.72,52.44,47.412,50.49,65.34,139.59,583.032,624,0.934346153846154
"Ashburton East",9,18,24,21,6,0,6,18,15,27,39,36,36,75,333,19.344,17.178,4.716,0,5.52,16.56,13.8,24.84,31.032,35.64,35.64,74.25,278.52,303,0.919207920792079
"Mt Somers",234,198,216,165,144,177,201,210,180,204,207,171,144,192,2646,174.096,134.97,113.184,152.928,184.92,193.2,165.6,187.68,199.8,169.29,142.56,190.08,2008.308,2211,0.908325644504749
"Hinds",381,357,372,306,303,318,363,339,363,318,348,267,252,321,4614,299.832,250.308,238.158,274.752,333.96,311.88,333.96,292.56,339.408,264.33,249.48,317.79,3506.418,3870,0.906051162790698
"Chertsey",204,210,207,126,129,153,165,162,213,201,183,150,141,252,2493,166.842,103.068,101.394,132.192,151.8,149.04,195.96,184.92,182.988,148.5,139.59,249.48,1905.774,2082,0.91535734870317
"Rakaia",78,63,57,51,42,63,57,66,90,72,96,96,69,207,1113,45.942,41.718,33.012,54.432,52.44,60.72,82.8,66.24,75.564,95.04,68.31,204.93,881.148,966,0.91216149068323
"Allenton West",153,150,147,126,129,135,117,129,150,135,129,108,108,336,2049,118.482,103.068,101.394,116.64,107.64,118.68,138,124.2,129.42,106.92,106.92,332.64,1604.004,1749,0.917097770154374
"Allenton East",273,243,243,225,201,186,228,243,234,258,264,267,264,1005,4131,195.858,184.05,157.986,160.704,209.76,223.56,215.28,237.36,241.956,264.33,261.36,994.95,3347.154,3618,0.925139303482587
"Ashburton Central West",48,42,45,33,39,45,36,36,45,60,57,57,75,423,1038,36.27,26.994,30.654,38.88,33.12,33.12,41.4,55.2,49.284,56.43,74.25,418.77,894.372,951,0.940454258675079
"Netherby",159,126,114,117,126,105,114,117,135,105,126,99,84,294,1821,91.884,95.706,99.036,90.72,104.88,107.64,124.2,96.6,114.696,98.01,83.16,291.06,1397.592,1536,0.909890625
"Ashburton Central East",102,75,87,99,93,108,87,69,105,105,114,102,102,474,1722,70.122,80.982,73.098,93.312,80.04,63.48,96.6,96.6,97.38,100.98,100.98,469.26,1422.834,1545,0.920928155339806
"Hampstead",213,186,138,180,177,186,180,159,192,177,162,165,129,489,2733,111.228,147.24,139.122,160.704,165.6,146.28,176.64,162.84,144.072,163.35,127.71,484.11,2128.896,2334,0.912123393316195
"Tinwald",237,198,165,162,195,177,183,183,195,219,210,174,213,573,3072,132.99,132.516,153.27,152.928,168.36,168.36,179.4,201.48,181.26,172.26,210.87,567.27,2420.964,2649,0.913916194790487
"Winchester",12,18,18,15,9,9,6,18,18,21,30,12,27,48,261,14.508,12.27,7.074,7.776,5.52,16.56,16.56,19.32,23.688,11.88,26.73,47.52,209.406,231,0.906519480519481
"Fairview-Scarborough",18,21,48,48,21,9,9,36,42,51,57,45,42,102,558,38.688,39.264,16.506,7.776,8.28,33.12,38.64,46.92,50.472,44.55,41.58,100.98,466.776,510,0.915247058823529
"Otipua Creek-Washdyke Flat",30,36,45,27,21,15,12,33,42,48,51,51,54,153,612,36.27,22.086,16.506,12.96,11.04,30.36,38.64,44.16,45.972,50.49,53.46,151.47,513.414,552,0.930097826086956
"Ben Mcleod",9,3,0,6,9,6,6,3,6,12,3,3,6,0,75,0,4.908,7.074,5.184,5.52,2.76,5.52,11.04,1.656,2.97,5.94,0,52.572,60,0.8762
"Orari",312,318,315,264,201,201,225,264,327,345,438,378,348,744,4674,253.89,215.952,157.986,173.664,207,242.88,300.84,317.4,366.516,374.22,344.52,736.56,3691.428,4050,0.911463703703704
"Levels",180,243,285,261,120,108,123,201,294,348,390,381,330,543,3807,229.71,213.498,94.32,93.312,113.16,184.92,270.48,320.16,328.14,377.19,326.7,537.57,3089.16,3384,0.912872340425532
"Pareora",18,36,39,33,15,18,21,21,36,48,27,30,27,63,429,31.434,26.994,11.79,15.552,19.32,19.32,33.12,44.16,30.348,29.7,26.73,62.37,350.838,378,0.928142857142857
"Pleasant Point",90,90,102,60,60,60,45,78,84,78,105,99,84,243,1281,82.212,49.08,47.16,51.84,41.4,71.76,77.28,71.76,98.352,98.01,83.16,240.57,1012.584,1098,0.922207650273224
"Geraldine",129,135,117,123,81,72,78,105,150,156,174,153,177,657,2301,94.302,100.614,63.666,62.208,71.76,96.6,138,143.52,142.38,151.47,175.23,650.43,1890.18,2043,0.925198237885463
"Temuka",219,225,264,246,195,174,171,216,264,294,288,261,288,945,4047,212.784,201.228,153.27,150.336,157.32,198.72,242.88,270.48,263.52,258.39,285.12,935.55,3329.598,3606,0.923349417637271
"Washdyke",36,42,48,54,36,30,42,45,54,57,84,75,96,159,864,38.688,44.172,28.296,25.92,38.64,41.4,49.68,52.44,65.376,74.25,95.04,157.41,711.312,780,0.911938461538461
"Waimataitai",66,63,51,57,75,69,75,63,72,78,96,99,96,270,1230,41.106,46.626,58.95,59.616,69,57.96,66.24,71.76,73.188,98.01,95.04,267.3,1004.796,1101,0.912621253405995
"Marchwiel",261,252,216,231,213,207,213,210,225,264,249,210,216,813,3780,174.096,188.958,167.418,178.848,195.96,193.2,207,242.88,222.984,207.9,213.84,804.87,2997.954,3267,0.91764738292011
"Maori Park",33,48,54,45,63,54,36,54,45,54,90,84,78,231,972,43.524,36.81,49.518,46.656,33.12,49.68,41.4,49.68,71.064,83.16,77.22,228.69,810.522,888,0.91275
"Highfield",177,150,252,189,105,138,144,165,213,255,243,222,225,825,3297,203.112,154.602,82.53,119.232,132.48,151.8,195.96,234.6,233.928,219.78,222.75,816.75,2767.524,2976,0.929947580645161
"Glenwood",99,108,126,99,60,69,81,93,111,129,108,117,120,429,1752,101.556,80.982,47.16,59.616,74.52,85.56,102.12,118.68,109.512,115.83,118.8,424.71,1439.046,1542,0.93323346303502
"Gleniti",90,126,189,144,75,51,78,114,168,168,183,159,180,663,2385,152.334,117.792,58.95,44.064,71.76,104.88,154.56,154.56,175.86,157.41,178.2,656.37,2026.74,2172,0.933121546961326
"Fraser Park",168,183,180,177,147,159,147,180,198,180,222,162,159,549,2805,145.08,144.786,115.542,137.376,135.24,165.6,182.16,165.6,193.824,160.38,157.41,543.51,2246.508,2460,0.913214634146342
"Seaview",135,90,132,162,201,162,120,135,120,168,174,162,156,495,2415,106.392,132.516,157.986,139.968,110.4,124.2,110.4,154.56,148.32,160.38,154.44,490.05,1989.612,2187,0.909744855967078
"Watlington",189,126,138,171,126,156,132,138,171,144,150,138,135,381,2298,111.228,139.878,99.036,134.784,121.44,126.96,157.32,132.48,137.448,136.62,133.65,377.19,1808.034,1980,0.913148484848485
"Parkside",156,147,165,198,180,126,129,141,186,171,171,132,132,453,2493,132.99,161.964,141.48,108.864,118.68,129.72,171.12,157.32,159.732,130.68,130.68,448.47,1991.7,2184,0.91195054945055
"Timaru Gardens",96,78,87,84,129,114,96,84,93,111,111,105,99,234,1515,70.122,68.712,101.394,98.496,88.32,77.28,85.56,102.12,95.724,103.95,98.01,231.66,1221.348,1347,0.90671714922049
"Redruth",6,3,0,3,6,6,3,3,3,9,3,3,3,12,66,0,2.454,4.716,5.184,2.76,2.76,2.76,8.28,1.656,2.97,2.97,11.88,48.39,54,0.896111111111111
"Twizel Community",81,60,75,39,45,45,51,75,81,90,75,81,99,240,1137,60.45,31.902,35.37,38.88,46.92,69,74.52,82.8,71.1,80.19,98.01,237.6,926.742,996,0.930463855421687
"Fairlie",36,27,39,33,33,33,30,24,36,39,51,51,48,201,696,31.434,26.994,25.938,28.512,27.6,22.08,33.12,35.88,43.596,50.49,47.52,198.99,572.154,618,0.925815533980582
"Mt Cook",21,9,0,3,18,30,42,9,21,12,12,3,6,0,192,0,2.454,14.148,25.92,38.64,8.28,19.32,11.04,6.624,2.97,5.94,0,135.336,156,0.867538461538462
"Lake Tekapo",15,15,12,18,33,42,30,24,27,27,24,21,30,48,369,9.672,14.724,25.938,36.288,27.6,22.08,24.84,24.84,18,20.79,29.7,47.52,301.992,336,0.898785714285714
"Inland Water-Lake Alexandrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inland Water-Lake Tekapo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mackenzie",123,153,156,102,93,72,84,114,159,138,153,132,108,171,1767,125.736,83.436,73.098,62.208,77.28,104.88,146.28,126.96,146.232,130.68,106.92,169.29,1353,1482,0.912955465587045
"Waihao",327,348,273,303,198,189,219,303,366,354,405,336,306,654,4578,220.038,247.854,155.628,163.296,201.48,278.76,336.72,325.68,331.668,332.64,302.94,647.46,3544.164,3906,0.907364055299539
"St Andrews",6,15,18,9,6,3,9,12,18,15,15,15,9,33,180,14.508,7.362,4.716,2.592,8.28,11.04,16.56,13.8,15.408,14.85,8.91,32.67,150.696,162,0.930222222222222
"Waimate",105,126,135,156,123,81,84,99,129,159,183,210,198,990,2775,108.81,127.608,96.678,69.984,77.28,91.08,118.68,146.28,154.476,207.9,196.02,980.1,2374.896,2547,0.932428739693757
"Weston",54,63,60,48,24,24,45,51,54,57,60,69,48,150,807,48.36,39.264,18.864,20.736,41.4,46.92,49.68,52.44,56.88,68.31,47.52,148.5,638.874,690,0.925904347826087
"Pukeuri",15,12,21,18,6,3,9,6,21,15,18,15,15,33,210,16.926,14.724,4.716,2.592,8.28,5.52,19.32,13.8,18.252,14.85,14.85,32.67,166.5,180,0.925
"Ardgowan",36,36,45,39,27,15,9,42,45,63,75,42,66,120,663,36.27,31.902,21.222,12.96,8.28,38.64,41.4,57.96,59.22,41.58,65.34,118.8,533.574,588,0.907438775510204
"Cape Wanbrow",12,21,27,18,12,9,18,15,21,24,21,21,18,78,318,21.762,14.724,9.432,7.776,16.56,13.8,19.32,22.08,22.284,20.79,17.82,77.22,263.568,282,0.93463829787234
"Duntroon",3,3,6,6,9,6,0,6,6,12,3,12,3,12,87,4.836,4.908,7.074,5.184,0,5.52,5.52,11.04,4.032,11.88,2.97,11.88,74.844,81,0.924
"Kurow",15,18,12,6,6,6,12,18,15,18,24,12,39,108,312,9.672,4.908,4.716,5.184,11.04,16.56,13.8,16.56,18,11.88,38.61,106.92,257.85,276,0.934239130434783
"Maheno",231,300,303,216,186,192,204,243,270,303,330,297,309,504,3897,244.218,176.688,146.196,165.888,187.68,223.56,248.4,278.76,302.148,294.03,305.91,498.96,3072.438,3357,0.915233243967828
"Omarama",12,15,9,15,24,15,9,21,15,18,27,24,30,36,267,7.254,12.27,18.864,12.96,8.28,19.32,13.8,16.56,18.468,23.76,29.7,35.64,216.876,243,0.892493827160494
"Kakanui",21,12,21,15,3,9,18,21,12,27,36,48,39,93,372,16.926,12.27,2.358,7.776,16.56,19.32,11.04,24.84,28.188,47.52,38.61,92.07,317.478,342,0.928298245614035
"Otematata",6,9,6,3,6,15,12,9,9,6,12,15,18,60,189,4.836,2.454,4.716,12.96,11.04,8.28,8.28,5.52,9,14.85,17.82,59.4,159.156,171,0.930736842105263
"Aviemore",69,63,54,45,51,45,48,60,48,66,48,51,33,90,765,43.524,36.81,40.086,38.88,44.16,55.2,44.16,60.72,47.88,50.49,32.67,89.1,583.68,639,0.913427230046948
"Inland Water-Lake Ohau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hampden",12,15,6,9,6,6,9,12,15,15,27,21,33,108,300,4.836,7.362,4.716,5.184,8.28,11.04,13.8,13.8,17.28,20.79,32.67,106.92,246.678,267,0.923887640449438
"Oamaru North",204,183,213,198,153,153,129,159,168,219,234,216,192,876,3291,171.678,161.964,120.258,132.192,118.68,146.28,154.56,201.48,213.516,213.84,190.08,867.24,2691.768,2910,0.92500618556701
"Orana Park",144,141,150,138,111,108,117,123,120,156,171,171,168,552,2367,120.9,112.884,87.246,93.312,107.64,113.16,110.4,143.52,153.792,169.29,166.32,546.48,1924.944,2085,0.923234532374101
"Oamaru Central",120,117,144,150,108,99,87,138,156,165,171,171,171,672,2475,116.064,122.7,84.888,85.536,80.04,126.96,143.52,151.8,151.416,169.29,169.29,665.28,2066.784,2232,0.925978494623656
"Oamaru South",168,162,171,126,114,117,114,129,165,204,237,213,207,783,2913,137.826,103.068,89.604,101.088,104.88,118.68,151.8,187.68,198.54,210.87,204.93,775.17,2384.136,2580,0.924083720930232
"Palmerston",45,45,45,36,27,30,30,33,54,51,66,54,51,228,792,36.27,29.448,21.222,25.92,27.6,30.36,49.68,46.92,54.252,53.46,50.49,225.72,651.342,705,0.923889361702128
"Waihemo",51,51,51,36,21,24,48,48,48,51,69,69,54,81,705,41.106,29.448,16.506,20.736,44.16,44.16,44.16,46.92,58.284,68.31,53.46,80.19,547.44,600,0.9124
"Hyde",9,3,6,3,3,6,6,6,12,3,6,6,6,0,75,4.836,2.454,2.358,5.184,5.52,5.52,11.04,2.76,5.688,5.94,5.94,0,57.24,63,0.908571428571428
"Waikouaiti",60,42,63,48,30,24,45,51,69,81,87,84,93,345,1125,50.778,39.264,23.58,20.736,41.4,46.92,63.48,74.52,72.972,83.16,92.07,341.55,950.43,1020,0.931794117647059
"Aramoana",6,12,15,15,6,6,18,15,6,33,33,33,21,48,270,12.09,12.27,4.716,5.184,16.56,13.8,5.52,30.36,24.156,32.67,20.79,47.52,225.636,249,0.906168674698795
"Waitati",36,36,27,24,12,21,18,48,45,39,45,63,39,57,513,21.762,19.632,9.432,18.144,16.56,44.16,41.4,35.88,35.532,62.37,38.61,56.43,399.912,438,0.913041095890411
"Evansdale",96,114,96,81,36,57,69,75,129,147,150,147,150,144,1482,77.376,66.258,28.296,49.248,63.48,69,118.68,135.24,120.816,145.53,148.5,142.56,1164.984,1281,0.909433255269321
"Karitane",21,18,15,15,6,18,12,21,27,24,33,33,21,96,363,12.09,12.27,4.716,15.552,11.04,19.32,24.84,22.08,24.156,32.67,20.79,95.04,294.564,321,0.917644859813084
"Warrington",21,30,45,18,9,15,24,36,42,39,36,27,36,69,447,36.27,14.724,7.074,12.96,22.08,33.12,38.64,35.88,37.692,26.73,35.64,68.31,369.12,396,0.932121212121212
"Nenthorn",3,6,6,6,6,9,12,0,9,3,3,12,9,15,93,4.836,4.908,4.716,7.776,11.04,0,8.28,2.76,4.032,11.88,8.91,14.85,83.988,90,0.9332
